term,display_prefix,translation_text,explanation_text,part_of_speech,example_source,example_target,tags,difficulty,source
Behauptung,,claim,,,Für diese Behauptung gibt es keinen Beweis.,There is no proof for this claim.,"bulk-import,web-example",,web:curated-2026-03
beherbergen,,house,,,Das alte Gebäude kann zwanzig Gäste beherbergen.,The old building can house twenty guests.,"bulk-import,web-example",,web:curated-2026-03
beherrschen,,control,,,Sie beherrscht drei Sprachen fließend.,She controls three languages fluently.,"bulk-import,web-example",,web:curated-2026-03
behielt,,kept,,,Er behielt das Geheimnis viele Jahre für sich.,He kept the secret to himself for many years.,"bulk-import,web-example",,web:curated-2026-03
behindern,,hinder,,,Die Baustelle könnte den Verkehr morgen behindern.,The construction site could hinder traffic tomorrow.,"bulk-import,web-example",,web:curated-2026-03
Behinderung,,hindrance,,,Eine schwere Behinderung erschwert oft den Alltag.,A severe disability often makes daily life harder.,"bulk-import,web-example",,web:curated-2026-03
Behälter,,container,,,Der Behälter für Glas steht vor dem Haus.,The container for glass stands in front of the house.,"bulk-import,web-example",,web:curated-2026-03
bei,,near,,,Die Apotheke ist gleich bei der Post.,The pharmacy is right near the post office.,"bulk-import,web-example",,web:curated-2026-03
beide,,both,,,Beide Kinder wollten das gleiche Buch lesen.,Both children wanted to read the same book.,"bulk-import,web-example",,web:curated-2026-03
beifügen,,enclose,,,Bitte vergessen Sie nicht die Rechnung beizufügen.,Please do not forget to enclose the invoice.,"bulk-import,web-example",,web:curated-2026-03
beigefügt,,enclosed,,,Die Unterlagen sind diesem Brief beigefügt.,The documents are enclosed with this letter.,"bulk-import,web-example",,web:curated-2026-03
Bein,,leg,,,Nach dem Lauf tat mir das linke Bein weh.,My left leg hurt after the run.,"bulk-import,web-example",,web:curated-2026-03
beinahe,,nearly,,,Ich hätte beinahe den letzten Bus verpasst.,I nearly missed the last bus.,"bulk-import,web-example",,web:curated-2026-03
beiseite,,aside,,,Leg die alten Zeitungen bitte beiseite.,Please put the old newspapers aside.,"bulk-import,web-example",,web:curated-2026-03
Beispiel,,example,,,Dieses Beispiel erklärt die Regel sehr gut.,This example explains the rule very well.,"bulk-import,web-example",,web:curated-2026-03
Beitrittsgebühr,,"entrance fee",,,Die Beitrittsgebühr muss vor dem ersten Training bezahlt werden.,The entrance fee must be paid before the first training session.,"bulk-import,web-example",,web:curated-2026-03
beißen,,"bite (irr.)",,,Der Hund kann beißen wenn er Angst hat.,The dog can bite when it is afraid.,"bulk-import,web-example",,web:curated-2026-03
bekam,,got,,,Sie bekam gestern einen langen Brief von ihrer Schwester.,She got a long letter from her sister yesterday.,"bulk-import,web-example",,web:curated-2026-03
bekannt,,acquainted,,,Er ist in der Stadt sehr bekannt.,He is well known in the city.,"bulk-import,web-example",,web:curated-2026-03
Bekanntmachung,,notice,,,Die offizielle Bekanntmachung erschien am Montag.,The official notice appeared on Monday.,"bulk-import,web-example",,web:curated-2026-03
bekleiden,,clothe,,,Warme Jacken bekleiden die Kinder im Winter gut.,Warm jackets clothe the children well in winter.,"bulk-import,web-example",,web:curated-2026-03
Bekleidung,,clothing,,,Leichte Bekleidung ist im Sommer angenehmer.,Light clothing is more pleasant in summer.,"bulk-import,web-example",,web:curated-2026-03
bekommen,,got,,,Wir bekommen die Ergebnisse erst nächste Woche.,We get the results only next week.,"bulk-import,web-example",,web:curated-2026-03
beleidigen,,offend,,,Du solltest deine Kollegen nicht beleidigen.,You should not offend your colleagues.,"bulk-import,web-example",,web:curated-2026-03
Beleidigung,,offence,,,Er empfand den Satz als schwere Beleidigung.,He saw the sentence as a serious offence.,"bulk-import,web-example",,web:curated-2026-03
Beleuchtung,,lighting,,,Die Beleuchtung im Saal war zu dunkel.,The lighting in the hall was too dim.,"bulk-import,web-example",,web:curated-2026-03
Belgien,,Belgium,,,Belgien ist für seine Schokolade bekannt.,Belgium is known for its chocolate.,"bulk-import,web-example",,web:curated-2026-03
beliebt,,popular,,,Das kleine Café ist bei Studenten sehr beliebt.,The small cafe is very popular with students.,"bulk-import,web-example",,web:curated-2026-03
Beliebtheit,,popularity,,,Seine Beliebtheit stieg nach dem Sieg deutlich.,His popularity rose significantly after the victory.,"bulk-import,web-example",,web:curated-2026-03
beliefernmit,,"supply with",,,Die Firma kann uns jede Woche mit frischem Brot beliefern.,The company can supply us with fresh bread every week.,"bulk-import,web-example",,web:curated-2026-03
Belieferung,,supply,,,Die Belieferung des Ladens erfolgt am frühen Morgen.,The supply of the shop takes place early in the morning.,"bulk-import,web-example",,web:curated-2026-03
bellen,,bark,,,Die Hunde bellen nachts oft im Hof.,The dogs often bark in the yard at night.,"bulk-import,web-example",,web:curated-2026-03
belohnen,,reward,,,Wir wollen die Kinder für ihre Hilfe belohnen.,We want to reward the children for their help.,"bulk-import,web-example",,web:curated-2026-03
Belohnung,,reward,,,Als Belohnung bekam er ein neues Fahrrad.,As a reward he got a new bicycle.,"bulk-import,web-example",,web:curated-2026-03
bemerken,,remark,,,Hast du die Veränderung an der Wand bemerkt?,Did you notice the change on the wall?,"bulk-import,web-example",,web:curated-2026-03
bemerkenswert,,noticeable,,,Sein Fortschritt in nur einem Monat ist bemerkenswert.,His progress in only one month is remarkable.,"bulk-import,web-example",,web:curated-2026-03
Bemerkung,,remark,,,Seine letzte Bemerkung klang unnötig scharf.,His last remark sounded unnecessarily harsh.,"bulk-import,web-example",,web:curated-2026-03
benachbart,,neighbouring,,,Im benachbarten Dorf findet morgen ein Markt statt.,A market takes place tomorrow in the neighbouring village.,"bulk-import,web-example",,web:curated-2026-03
Benehmen,,behaviour,,,Sein Benehmen beim Essen war tadellos.,His behaviour at the table was impeccable.,"bulk-import,web-example",,web:curated-2026-03
beneiden,,envy,,,Viele beneiden sie um ihren ruhigen Arbeitsplatz.,Many envy her for her quiet workplace.,"bulk-import,web-example",,web:curated-2026-03
benennen,,name,,,Wir müssen einen neuen Leiter benennen.,We have to name a new leader.,"bulk-import,web-example",,web:curated-2026-03
Benennung,,appointment,,,Die Benennung des neuen Direktors erfolgt nächste Woche.,The appointment of the new director takes place next week.,"bulk-import,web-example",,web:curated-2026-03
benötigen,,want,,,Für den Antrag benötigen wir noch zwei Dokumente.,We still need two documents for the application.,"bulk-import,web-example",,web:curated-2026-03
beobachten,,watch,,,Vom Fenster aus kann man die Straße gut beobachten.,From the window one can watch the street well.,"bulk-import,web-example",,web:curated-2026-03
Beobachtung,,observation,,,Diese Beobachtung ist für den Bericht sehr wichtig.,This observation is very important for the report.,"bulk-import,web-example",,web:curated-2026-03
bequem,,comfortable,,,Der neue Sessel ist überraschend bequem.,The new armchair is surprisingly comfortable.,"bulk-import,web-example",,web:curated-2026-03
Bequemlichkeit,,comfort,,,Aus Bequemlichkeit nahm er wieder das Auto.,Out of convenience he took the car again.,"bulk-import,web-example",,web:curated-2026-03
beraten,,advise,,,Kannst du mich bei dieser Entscheidung beraten?,Can you advise me on this decision?,"bulk-import,web-example",,web:curated-2026-03
berauben,,rob,,,Die Täter wollten den alten Mann berauben.,The perpetrators wanted to rob the old man.,"bulk-import,web-example",,web:curated-2026-03
berechnend,,calculating,,,Sein berechnender Ton machte alle misstrauisch.,His calculating tone made everyone suspicious.,"bulk-import,web-example",,web:curated-2026-03
berechnet,,calculated,,,Die Kosten wurden schon gestern genau berechnet.,The costs were calculated precisely yesterday.,"bulk-import,web-example",,web:curated-2026-03
Berechnung,,calculation,,,Die Berechnung enthält keinen erkennbaren Fehler.,The calculation contains no visible error.,"bulk-import,web-example",,web:curated-2026-03
bereit,,ready,,,Wir sind bereit für die lange Reise.,We are ready for the long journey.,"bulk-import,web-example",,web:curated-2026-03
Berg,,mountain,,,Vom Berg aus hatte man eine weite Aussicht.,From the mountain one had a wide view.,"bulk-import,web-example",,web:curated-2026-03
Berggipfel,,"top of the mountain",,,Der Schnee lag noch auf dem Berggipfel.,The snow still lay on the top of the mountain.,"bulk-import,web-example",,web:curated-2026-03
Bergmann,,miner,,,Der Bergmann arbeitete schon mit sechzehn unter Tage.,The miner already worked underground at sixteen.,"bulk-import,web-example",,web:curated-2026-03
Bergwerk,,mine,,,Das alte Bergwerk ist heute ein Museum.,The old mine is a museum today.,"bulk-import,web-example",,web:curated-2026-03
Bericht,,report,,,Im Bericht standen mehrere wichtige Zahlen.,Several important figures stood in the report.,"bulk-import,web-example",,web:curated-2026-03
berichten,,report,,,Die Zeitung wird morgen ausführlich darüber berichten.,The newspaper will report on it in detail tomorrow.,"bulk-import,web-example",,web:curated-2026-03
Beruf,,profession,,,Sie lernte den Beruf von ihrem Vater.,She learned the profession from her father.,"bulk-import,web-example",,web:curated-2026-03
berufsmäßig,,professional,,,Er fährt berufsmäßig Lastwagen durch ganz Europa.,He drives trucks professionally throughout Europe.,"bulk-import,web-example",,web:curated-2026-03
beruhigen,,comfort,,,Die Mutter versuchte das Kind zu beruhigen.,The mother tried to calm the child.,"bulk-import,web-example",,web:curated-2026-03
berühmt,,famous,,,Die Stadt ist für ihre Brücke berühmt.,The city is famous for its bridge.,"bulk-import,web-example",,web:curated-2026-03
berühren,,touch,,,Bitte die frische Farbe nicht berühren.,Please do not touch the fresh paint.,"bulk-import,web-example",,web:curated-2026-03
Berührung,,touch,,,Bei der ersten Berührung zog er die Hand zurück.,At the first touch he pulled his hand back.,"bulk-import,web-example",,web:curated-2026-03
Beschaffenheit,,kind,,,Die Beschaffenheit des Stoffes ist sehr weich.,The nature of the fabric is very soft.,"bulk-import,web-example",,web:curated-2026-03
bescheiden,,humble,,,Trotz seines Erfolgs blieb er sehr bescheiden.,Despite his success he remained very humble.,"bulk-import,web-example",,web:curated-2026-03
Bescheidenheit,,humbleness,,,Ihre Bescheidenheit machte sie noch sympathischer.,Her humbleness made her even more likable.,"bulk-import,web-example",,web:curated-2026-03
beschließen,,decide,,,Wir müssen heute über den Plan beschließen.,We have to decide on the plan today.,"bulk-import,web-example",,web:curated-2026-03
beschreiben,,describe,,,Kannst du den Mann genauer beschreiben?,Can you describe the man more precisely?,"bulk-import,web-example",,web:curated-2026-03
Beschreibung,,description,,,Die Beschreibung des Weges war sehr hilfreich.,The description of the route was very helpful.,"bulk-import,web-example",,web:curated-2026-03
beschädigen,,harm,,,Der Sturm könnte das Dach schwer beschädigen.,The storm could badly damage the roof.,"bulk-import,web-example",,web:curated-2026-03
beschädigt,,damaged,,,Das Fenster war nach dem Spiel beschädigt.,The window was damaged after the game.,"bulk-import,web-example",,web:curated-2026-03
beschäftigen,,occupy,,,Die lange Reise wird uns den ganzen Tag beschäftigen.,The long journey will occupy us all day.,"bulk-import,web-example",,web:curated-2026-03
beschäftigt,,busy,,,Ich bin heute Nachmittag leider beschäftigt.,I am unfortunately busy this afternoon.,"bulk-import,web-example",,web:curated-2026-03
Beschäftigung,,occupation,,,Sie sucht nach einer sinnvollen Beschäftigung für den Winter.,She is looking for a meaningful occupation for the winter.,"bulk-import,web-example",,web:curated-2026-03
beschämt,,ashamed,,,Nach seiner Antwort wirkte er plötzlich beschämt.,After his answer he suddenly looked ashamed.,"bulk-import,web-example",,web:curated-2026-03
beschützen,,guard,,,Große Bäume beschützen das Haus vor Wind.,Large trees protect the house from wind.,"bulk-import,web-example",,web:curated-2026-03
Besen,,broom,,,Der alte Besen steht hinter der Tür.,The old broom stands behind the door.,"bulk-import,web-example",,web:curated-2026-03
besetzen,,occupy,,,Die Studenten wollten das Gebäude besetzen.,The students wanted to occupy the building.,"bulk-import,web-example",,web:curated-2026-03
Besetzung,,occupation,,,Die Besetzung der Rollen dauerte mehrere Wochen.,The casting of the roles lasted several weeks.,"bulk-import,web-example",,web:curated-2026-03
Besichtigungen,,sightseeing,,,Für Besichtigungen bleibt uns nur ein Nachmittag.,We have only one afternoon left for sightseeing.,"bulk-import,web-example",,web:curated-2026-03
besiegen,,defeat,,,Niemand konnte den Meister im Finale besiegen.,Nobody could defeat the champion in the final.,"bulk-import,web-example",,web:curated-2026-03
besiegt,,defeated,,,Die Mannschaft wirkte müde und besiegt.,The team looked tired and defeated.,"bulk-import,web-example",,web:curated-2026-03
Besitz,,possession,,,Der Ring blieb lange in Familienbesitz.,The ring remained in family possession for a long time.,"bulk-import,web-example",,web:curated-2026-03
besitzen,,possess,,,Nur wenige Leute besitzen noch solche Karten.,Only a few people still possess such maps.,"bulk-import,web-example",,web:curated-2026-03
Besitzer,,owner,,,Der Besitzer des Hauses wohnt im Ausland.,The owner of the house lives abroad.,"bulk-import,web-example",,web:curated-2026-03
besonderer,,particular,,,Zu diesem Anlass brauchen wir besondere Vorsicht.,For this occasion we need particular caution.,"bulk-import,web-example",,web:curated-2026-03
besonders,,particularly,,,Im Winter ist es hier besonders still.,In winter it is particularly quiet here.,"bulk-import,web-example",,web:curated-2026-03
besprechen,,"talk over",,,Wir sollten das Problem morgen in Ruhe besprechen.,We should talk the problem over calmly tomorrow.,"bulk-import,web-example",,web:curated-2026-03
besser,,better,,,Heute geht es mir schon viel besser.,I already feel much better today.,"bulk-import,web-example",,web:curated-2026-03
bestechen,,bribe,,,Niemand darf einen Beamten bestechen.,Nobody may bribe an official.,"bulk-import,web-example",,web:curated-2026-03
Bestechung,,bribery,,,Der Prozess drehte sich um Bestechung im Rathaus.,The trial revolved around bribery at city hall.,"bulk-import,web-example",,web:curated-2026-03
bestehend,,existing,,,Die bestehende Regel bleibt bis Dezember gültig.,The existing rule remains valid until December.,"bulk-import,web-example",,web:curated-2026-03
bestellen,,order,,,Wir möchten heute Abend Pizza bestellen.,We want to order pizza this evening.,"bulk-import,web-example",,web:curated-2026-03
Bestellung,,order,,,Deine Bestellung ist schon unterwegs.,Your order is already on its way.,"bulk-import,web-example",,web:curated-2026-03
bester,,best,,,Sie ist meine beste Freundin und mein bester Rat.,She is my best friend and my best advice.,"bulk-import,web-example",,web:curated-2026-03
besteuern,,tax,,,Der Staat will Luxusgüter stärker besteuern.,The state wants to tax luxury goods more heavily.,"bulk-import,web-example",,web:curated-2026-03
bestrafen,,punish,,,Man sollte Kinder nicht für jeden Fehler bestrafen.,One should not punish children for every mistake.,"bulk-import,web-example",,web:curated-2026-03
Bestrafung,,punishment,,,Die Bestrafung fiel milder aus als erwartet.,The punishment was milder than expected.,"bulk-import,web-example",,web:curated-2026-03
bestrebt,,anxious,,,Die Firma ist bestrebt ihre Kosten zu senken.,The company is eager to reduce its costs.,"bulk-import,web-example",,web:curated-2026-03
Besuch,,visit,,,Morgen bekommen wir Besuch aus Hamburg.,Tomorrow we are getting a visit from Hamburg.,"bulk-import,web-example",,web:curated-2026-03
besuchen,,visit,,,Wir wollen am Wochenende unsere Großeltern besuchen.,We want to visit our grandparents at the weekend.,"bulk-import,web-example",,web:curated-2026-03
Besucher,,visitor,,,Der Besucher wartete geduldig vor dem Büro.,The visitor waited patiently outside the office.,"bulk-import,web-example",,web:curated-2026-03
besänftigen,,comfort,,,Ein ruhiges Wort konnte die Menge schnell besänftigen.,A calm word could quickly soothe the crowd.,"bulk-import,web-example",,web:curated-2026-03
beten,,pray,,,Jeden Abend beten sie gemeinsam im kleinen Zimmer.,Every evening they pray together in the small room.,"bulk-import,web-example",,web:curated-2026-03
Bäcker,,baker,,,Der Bäcker öffnet seine kleine Bäckerei um fünf Uhr.,The baker opens his small bakery at five oclock.,"bulk-import,web-example",,web:curated-2026-03
Bäuerin,,"farmer's wife",,,Die Bäuerin verkaufte frische Eier auf dem Markt.,The farmer's wife sold fresh eggs at the market.,"bulk-import,web-example",,web:curated-2026-03
Änderung,,change,,,Die letzte Änderung im Vertrag war wichtig.,The last change in the contract was important.,"bulk-import,web-example",,web:curated-2026-03
Ärgernis,,nuisance,,,Der ständige Lärm ist ein echtes Ärgernis.,The constant noise is a real nuisance.,"bulk-import,web-example",,web:curated-2026-03
Ärmel,,sleeve,,,An seinem Ärmel klebte noch etwas Farbe.,There was still some paint on his sleeve.,"bulk-import,web-example",,web:curated-2026-03
Äußerung,,remark,,,Seine Äußerung sorgte sofort für Unruhe.,His remark immediately caused unrest.,"bulk-import,web-example",,web:curated-2026-03
ähnlich,,similar,,,Die beiden Häuser sehen sich sehr ähnlich.,The two houses look very similar.,"bulk-import,web-example",,web:curated-2026-03
älter,,older,,,Mein Bruder ist zwei Jahre älter als ich.,My brother is two years older than I am.,"bulk-import,web-example",,web:curated-2026-03
ältere,,elder,,,Die ältere Dame wartete schon seit einer Stunde.,The elder lady had already been waiting for an hour.,"bulk-import,web-example",,web:curated-2026-03
älteste,,oldest,,,Er ist der älteste Sohn der Familie.,He is the oldest son of the family.,"bulk-import,web-example",,web:curated-2026-03
ärgerlich,,annoying,,,Der ständige Regen ist wirklich ärgerlich.,The constant rain is really annoying.,"bulk-import,web-example",,web:curated-2026-03
äußerer,,outer,,,Die äußere Tür war nicht abgeschlossen.,The outer door was not locked.,"bulk-import,web-example",,web:curated-2026-03
äußerster,,outermost,,,Am äußersten Rand des Waldes stand eine Hütte.,At the outermost edge of the forest stood a hut.,"bulk-import,web-example",,web:curated-2026-03
