term,display_prefix,translation_text,explanation_text,part_of_speech,example_source,example_target,tags,difficulty,source
Arbeitgeber,,employer,,,Mein Arbeitgeber ist sehr reich.,My employer is very rich.,"bulk-import,tatoeba-example",,tatoeba:10022508
Arbeitnehmer,,employee,,,Ihre Arbeitnehmer leben am Arbeitsplatz.,Their employees live in.,"bulk-import,tatoeba-example",,tatoeba:401767
arbeitslos,,unemployed,,,Ich war arbeitslos.,I was unemployed.,"bulk-import,tatoeba-example",,tatoeba:13479409
Arbeitslosigkeit,,unemployment,,,Die Arbeitslosigkeit wächst.,Unemployment is rising.,"bulk-import,tatoeba-example",,tatoeba:12455603
Arbeitstag,,working-day,,,Wie war dein Arbeitstag?,How was your day at work?,"bulk-import,tatoeba-example",,tatoeba:10290207
Argument,,argument,,,Gutes Argument.,Fair point.,"bulk-import,tatoeba-example",,tatoeba:12193539
Argwohn,,suspicion,,,Solche Reden werden Argwohn hervorrufen.,Talk like that will raise suspicion.,"bulk-import,tatoeba-example",,tatoeba:3973199
Arm,,arm,,,,,"bulk-import,tatoeba-example",,tatoeba:12166239
Armbanduhr,,wristwatch,,,Tom trug eine Armbanduhr.,Tom was wearing a watch.,"bulk-import,tatoeba-example",,tatoeba:12465048
Armut,,poverty,,,Armut führt zu Verbrechen.,Poverty leads to crime.,"bulk-import,tatoeba-example",,tatoeba:11015130
Aroma,,flavour,,,Der Kaffee hat ein gutes Aroma.,The coffee has nice aroma.,"bulk-import,tatoeba-example",,tatoeba:12900972
Arrest,,arrest,,,Steht Tom unter Arrest?,Is Tom under arrest?,"bulk-import,tatoeba-example",,tatoeba:4293417
Art,,kind,,,,,"bulk-import,tatoeba-example",,tatoeba:5064324
Artikel,,article,,,Lest den Artikel!,Read the article.,"bulk-import,tatoeba-example",,tatoeba:1799279
Arzneimittel,,drug,,,Halte Kinder von Arzneimitteln fern.,Keep children away from medicine.,"bulk-import,tatoeba-example",,tatoeba:12457926
Arzt,,physician,,,Ruf den Arzt!,Call the doctor!,"bulk-import,tatoeba-example",,tatoeba:13615294
Asche,,ashes,,,Friede seiner Asche!,Peace to his ashes!,"bulk-import,tatoeba-example",,tatoeba:1236478
Asien,,Asia,,,China liegt in Asien.,China is in Asia.,"bulk-import,tatoeba-example",,tatoeba:11987866
Assistent,,assistant,,,Tom braucht einen Assistenten.,Tom needs an assistant.,"bulk-import,tatoeba-example",,tatoeba:11692360
Atem,,breath,,,Dein Atem stinkt.,Your breath stinks.,"bulk-import,tatoeba-example",,tatoeba:8227541
atmen,,breathe,,,Atmen Sie?,Are you breathing?,"bulk-import,tatoeba-example",,tatoeba:8861760
Attraktion,,attraction,,,Dieses Fahrgeschäft ist die eigentliche Attraktion des Parks.,This ride is the park's real attraction.,"bulk-import,tatoeba-example",,tatoeba:2757504
auch,,too (nachgestellt),,,Mir auch.,"Me, too.","bulk-import,tatoeba-example",,tatoeba:11329600
auf,,give up,,,Gebt auf!,Surrender!,"bulk-import,tatoeba-example",,tatoeba:10478282
Aufbau,,structure,,,Die Eisenbahnstrecke befindet sich nun im Aufbau.,The railroad is now in the process of construction.,"bulk-import,tatoeba-example",,tatoeba:1916381
aufbrechen,,start,,,Wir sollten aufbrechen.,We should be on our way.,"bulk-import,tatoeba-example",,tatoeba:8639153
Aufenthalt,,whereabouts,,,Er ist unbekannten Aufenthalts.,His whereabouts are unknown.,"bulk-import,tatoeba-example",,tatoeba:5018090
aufführen,,behave,,,Du darfst dich nicht so aufführen.,You must not behave like this.,"bulk-import,tatoeba-example",,tatoeba:8052091
auffüllen,,fill up,,,Soll ich dein Glas auffüllen?,Shall I fill your glass up?,"bulk-import,tatoeba-example",,tatoeba:2106809
aufgegangen,,worked out,,,Ihr Plan ist aufgegangen.,Your plan worked.,"bulk-import,tatoeba-example",,tatoeba:13541271
aufgestanden,,risen,,,Ich bin aufgestanden.,I stood up.,"bulk-import,tatoeba-example",,tatoeba:12025987
aufgewacht,,woken,,,Sie sind aufgewacht.,They're awake.,"bulk-import,tatoeba-example",,tatoeba:12317518
aufgeweckt,,woken,,,Was hat dich aufgeweckt?,What woke you?,"bulk-import,tatoeba-example",,tatoeba:11185712
aufhalten,,stop,,,Sie will ihn aufhalten.,She wants to stop him.,"bulk-import,tatoeba-example",,tatoeba:13252458
aufheben,,lift,,,Kannst du es aufheben?,Can you pick it up?,"bulk-import,tatoeba-example",,tatoeba:707050
aufhören,,stop,,,Buh! Aufhören!,Shit! Stop!,"bulk-import,tatoeba-example",,tatoeba:6119592
aufleuchten,,flash,,,"Betätige mal das Bremspedal, um die Bremslichter aufleuchten zu lassen.",Press the brake pedal to turn on your brake lights.,"bulk-import,tatoeba-example",,tatoeba:966138
auflösen,,dissolve,,,Man muss es in Wasser auflösen.,It has to be dissolved in water.,"bulk-import,tatoeba-example",,tatoeba:7742895
aufmerksam,,attentive,,,Sei aufmerksamer.,Be more attentive.,"bulk-import,tatoeba-example",,tatoeba:13035096
Aufmerksamkeit,,attention,,,Tom möchte Aufmerksamkeit.,Tom wants attention.,"bulk-import,tatoeba-example",,tatoeba:12531257
aufmuntern,,encourage,,,Tom war aufmunternd.,Tom was encouraging.,"bulk-import,tatoeba-example",,tatoeba:6618883
aufrecht,,upright,,,Stehe aufrecht!,Stand up straight!,"bulk-import,tatoeba-example",,tatoeba:1915189
aufrechterhalten,,maintain,,,Hast du den Kontakt aufrechterhalten?,Did you keep in touch?,"bulk-import,tatoeba-example",,tatoeba:1697523
aufregen,,excite,,,Wie aufregend!,How thrilling!,"bulk-import,tatoeba-example",,tatoeba:4942803
aufregend,,exciting,,,Wie aufregend!,How thrilling!,"bulk-import,tatoeba-example",,tatoeba:4942803
Aufregung,,excitement,,,Warum diese Aufregung?,Why all the commotion?,"bulk-import,tatoeba-example",,tatoeba:2811188
aufrichtig,,truly,,,Er war aufrichtig.,He was frank.,"bulk-import,tatoeba-example",,tatoeba:9985189
Aufschrei,,outcry,,,Der Richterspruch führte zu einem Aufschrei.,The judge's decision caused an uproar.,"bulk-import,tatoeba-example",,tatoeba:12362775
aufstehen,,stand up,,,Aufstehen!,Stand up!,"bulk-import,tatoeba-example",,tatoeba:7188587
aufteilen,,split (irr.),,,Wir müssen uns aufteilen.,We have to split.,"bulk-import,tatoeba-example",,tatoeba:3145244
Auftrag,,order,,,Dies ist Ihr erster Auftrag.,This is your first assignment.,"bulk-import,tatoeba-example",,tatoeba:12546813
aufwachen,,wake (irr.),,,"Aufwachen, Liebes!","Wake up, dear.","bulk-import,tatoeba-example",,tatoeba:9199357
aufwachsen,,grow up,,,Kinder sollten sorglos aufwachsen.,Children should grow up carefree.,"bulk-import,tatoeba-example",,tatoeba:12446821
aufwecken,,wake (irr.),,,Nicht das Kind aufwecken!,Don't wake the baby up.,"bulk-import,tatoeba-example",,tatoeba:13732525
aufwärts,,upwards,,,,,"bulk-import,tatoeba-example",,tatoeba:6028208
aufzeichnen,,record,,,Könntest du mir vielleicht eine Karte aufzeichnen?,Maybe you could draw me a map?,"bulk-import,tatoeba-example",,tatoeba:1536666
Augapfel,,eye-ball,,,Diese goldene Uhr ist mein Augapfel. Mutter schenkte sie mir in ihren späteren Jahren als Andenken.,This gold watch is the apple of my eye. Mother gave it to me as a keep-sake in her later years.,"bulk-import,tatoeba-example",,tatoeba:636729
Auge,,eye,,,Augen geradeaus!,Eyes front.,"bulk-import,tatoeba-example",,tatoeba:8641031
Augenblick,,moment,,,Augenblick...,Just a moment ...,"bulk-import,tatoeba-example",,tatoeba:5445702
Augenbraue,,eyebrow,,,Deine Augenbrauen sind schön.,Your eyebrows are beautiful.,"bulk-import,tatoeba-example",,tatoeba:12183775
August,,August,,,Wir haben schon August.,It is already August.,"bulk-import,tatoeba-example",,tatoeba:11905776
