term,display_prefix,translation_text,explanation_text,part_of_speech,example_source,example_target,tags,difficulty,source
Abschrift,,copy,German noun meaning 'copy'.,noun,"""Abschrift"" bedeutet ""copy"".","""Abschrift"" means ""copy"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Absender,,sender,German noun meaning 'sender'.,noun,"""Absender"" bedeutet ""sender"".","""Absender"" means ""sender"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Absicht,,purpose,German noun meaning 'purpose'.,noun,"""Absicht"" bedeutet ""purpose"".","""Absicht"" means ""purpose"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
absichtlich,,on purpose,German word meaning 'on purpose'.,,"""absichtlich"" bedeutet ""on purpose"".","""absichtlich"" means ""on purpose"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
absperren,,lock,German word meaning 'lock'.,,"""absperren"" bedeutet ""lock"".","""absperren"" means ""lock"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
abstauben,,dust,German word meaning 'dust'.,,"""abstauben"" bedeutet ""dust"".","""abstauben"" means ""dust"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
abstimmen,,vote,German word meaning 'vote'.,,"""abstimmen"" bedeutet ""vote"".","""abstimmen"" means ""vote"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Abstimmung,,vote,German noun meaning 'vote'.,noun,"""Abstimmung"" bedeutet ""vote"".","""Abstimmung"" means ""vote"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Absturz,,crash,German noun meaning 'crash'.,noun,"""Absturz"" bedeutet ""crash"".","""Absturz"" means ""crash"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
abstürzen,,crash,German word meaning 'crash'.,,"""abstürzen"" bedeutet ""crash"".","""abstürzen"" means ""crash"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Abteilung,,department,German noun meaning 'department'.,noun,"""Abteilung"" bedeutet ""department"".","""Abteilung"" means ""department"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Abwechslung,,variety,German noun meaning 'variety'.,noun,"""Abwechslung"" bedeutet ""variety"".","""Abwechslung"" means ""variety"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
abwesend,,absent,German word meaning 'absent'.,,"""abwesend"" bedeutet ""absent"".","""abwesend"" means ""absent"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Abwesenheit,,absence,German noun meaning 'absence'.,noun,"""Abwesenheit"" bedeutet ""absence"".","""Abwesenheit"" means ""absence"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
abwärts,,downwards,German word meaning 'downwards'.,,"""abwärts"" bedeutet ""downwards"".","""abwärts"" means ""downwards"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Abzug,,print,German noun meaning 'print'.,noun,"""Abzug"" bedeutet ""print"".","""Abzug"" means ""print"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
abzäunen,,fence off,German word meaning 'fence off'.,,"""abzäunen"" bedeutet ""fence off"".","""abzäunen"" means ""fence off"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
acht,,eight,German word meaning 'eight'.,,"""acht"" bedeutet ""eight"".","""acht"" means ""eight"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
achte,,eighth,German word meaning 'eighth'.,,"""achte"" bedeutet ""eighth"".","""achte"" means ""eighth"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
achtzehn,,eighteen,German word meaning 'eighteen'.,,"""achtzehn"" bedeutet ""eighteen"".","""achtzehn"" means ""eighteen"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
achtzehnte,,eighteenth,German word meaning 'eighteenth'.,,"""achtzehnte"" bedeutet ""eighteenth"".","""achtzehnte"" means ""eighteenth"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
achtzig,,eighty,German word meaning 'eighty'.,,"""achtzig"" bedeutet ""eighty"".","""achtzig"" means ""eighty"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
achtzigste,,eightieth,German word meaning 'eightieth'.,,"""achtzigste"" bedeutet ""eightieth"".","""achtzigste"" means ""eightieth"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Adel,,nobility,German noun meaning 'nobility'.,noun,"""Adel"" bedeutet ""nobility"".","""Adel"" means ""nobility"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
adoptieren,,adopt,German word meaning 'adopt'.,,"""adoptieren"" bedeutet ""adopt"".","""adoptieren"" means ""adopt"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Adoption,,adoption,German noun meaning 'adoption'.,noun,"""Adoption"" bedeutet ""adoption"".","""Adoption"" means ""adoption"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Adresse,,address,German noun meaning 'address'.,noun,"""Adresse"" bedeutet ""address"".","""Adresse"" means ""address"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Affe,,monkey,German noun meaning 'monkey'.,noun,"""Affe"" bedeutet ""monkey"".","""Affe"" means ""monkey"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Afrika,,Africa,German noun meaning 'Africa'.,noun,"""Afrika"" bedeutet ""Africa"".","""Afrika"" means ""Africa"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Afrikaner,,African,German noun meaning 'African'.,noun,"""Afrikaner"" bedeutet ""African"".","""Afrikaner"" means ""African"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
afrikanisch,,African,German word meaning 'African'.,,"""afrikanisch"" bedeutet ""African"".","""afrikanisch"" means ""African"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Agent,,agent,German noun meaning 'agent'.,noun,"""Agent"" bedeutet ""agent"".","""Agent"" means ""agent"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Agentur,,agency,German noun meaning 'agency'.,noun,"""Agentur"" bedeutet ""agency"".","""Agentur"" means ""agency"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Akt,,act,German noun meaning 'act'.,noun,"""Akt"" bedeutet ""act"".","""Akt"" means ""act"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Aktie,,share,German noun meaning 'share'.,noun,"""Aktie"" bedeutet ""share"".","""Aktie"" means ""share"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
aktiv,,active,German word meaning 'active'.,,"""aktiv"" bedeutet ""active"".","""aktiv"" means ""active"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Aktivität,,activity,German noun meaning 'activity'.,noun,"""Aktivität"" bedeutet ""activity"".","""Aktivität"" means ""activity"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Alarm,,alarm,German noun meaning 'alarm'.,noun,"""Alarm"" bedeutet ""alarm"".","""Alarm"" means ""alarm"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Alkohol,,alcohol,German noun meaning 'alcohol'.,noun,"""Alkohol"" bedeutet ""alcohol"".","""Alkohol"" means ""alcohol"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
all,,all,German word meaning 'all'.,,"""all"" bedeutet ""all"".","""all"" means ""all"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Allee,,avenue,German noun meaning 'avenue'.,noun,"""Allee"" bedeutet ""avenue"".","""Allee"" means ""avenue"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
allein,,alone,German word meaning 'alone'.,,"""allein"" bedeutet ""alone"".","""allein"" means ""alone"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
alles,,everything,German word meaning 'everything'.,,"""alles"" bedeutet ""everything"".","""alles"" means ""everything"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
allgemein,,general,German word meaning 'general'.,,"""allgemein"" bedeutet ""general"".","""allgemein"" means ""general"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Allgemeinheit,,community,German noun meaning 'community'.,noun,"""Allgemeinheit"" bedeutet ""community"".","""Allgemeinheit"" means ""community"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
allmählich,,gradual,German word meaning 'gradual'.,,"""allmählich"" bedeutet ""gradual"".","""allmählich"" means ""gradual"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
als,,as,German word meaning 'as'.,,"""als"" bedeutet ""as"".","""als"" means ""as"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
alt,,old,German word meaning 'old'.,,"""alt"" bedeutet ""old"".","""alt"" means ""old"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Alter,,age,German noun meaning 'age'.,noun,"""Alter"" bedeutet ""age"".","""Alter"" means ""age"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
altmodisch,,old-fashioned,German word meaning 'old-fashioned'.,,"""altmodisch"" bedeutet ""old-fashioned"".","""altmodisch"" means ""old-fashioned"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Amerika,,America,German noun meaning 'America'.,noun,"""Amerika"" bedeutet ""America"".","""Amerika"" means ""America"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
amerikanisch,,American,German word meaning 'American'.,,"""amerikanisch"" bedeutet ""American"".","""amerikanisch"" means ""American"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Amt,,office,German noun meaning 'office'.,noun,"""Amt"" bedeutet ""office"".","""Amt"" means ""office"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
amtlich,,official,German word meaning 'official'.,,"""amtlich"" bedeutet ""official"".","""amtlich"" means ""official"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
amüsieren,,amuse,German word meaning 'amuse'.,,"""amüsieren"" bedeutet ""amuse"".","""amüsieren"" means ""amuse"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
an,,at,German word meaning 'at'.,,"""an"" bedeutet ""at"".","""an"" means ""at"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
anbauen,,grow (irr.),German word meaning 'grow (irr.)'.,,"""anbauen"" bedeutet ""grow (irr.)"".","""anbauen"" means ""grow (irr.)"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
anbieten,,offer,German word meaning 'offer'.,,"""anbieten"" bedeutet ""offer"".","""anbieten"" means ""offer"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Anblick,,sight,German noun meaning 'sight'.,noun,"""Anblick"" bedeutet ""sight"".","""Anblick"" means ""sight"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
andauernd,,permanently,German word meaning 'permanently'.,,"""andauernd"" bedeutet ""permanently"".","""andauernd"" means ""permanently"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
anderenfalls,,otherwise,German word meaning 'otherwise'.,,"""anderenfalls"" bedeutet ""otherwise"".","""anderenfalls"" means ""otherwise"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
anderer,,other,German word meaning 'other'.,,"""anderer"" bedeutet ""other"".","""anderer"" means ""other"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
anerkennen,,appreciate,German word meaning 'appreciate'.,,"""anerkennen"" bedeutet ""appreciate"".","""anerkennen"" means ""appreciate"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Anerkennung,,recognition,German noun meaning 'recognition'.,noun,"""Anerkennung"" bedeutet ""recognition"".","""Anerkennung"" means ""recognition"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Anfang,,start,German noun meaning 'start'.,noun,"""Anfang"" bedeutet ""start"".","""Anfang"" means ""start"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
anfangen,,start,German word meaning 'start'.,,"""anfangen"" bedeutet ""start"".","""anfangen"" means ""start"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
anfeuchten,,damp,German word meaning 'damp'.,,"""anfeuchten"" bedeutet ""damp"".","""anfeuchten"" means ""damp"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
angebaut,,grown,German word meaning 'grown'.,,"""angebaut"" bedeutet ""grown"".","""angebaut"" means ""grown"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
angeben,,declare,German word meaning 'declare'.,,"""angeben"" bedeutet ""declare"".","""angeben"" means ""declare"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Angebot,,offer,German noun meaning 'offer'.,noun,"""Angebot"" bedeutet ""offer"".","""Angebot"" means ""offer"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
angehäuft,,piled up,German word meaning 'piled up'.,,"""angehäuft"" bedeutet ""piled up"".","""angehäuft"" means ""piled up"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Angelegenheit,,matter,German noun meaning 'matter'.,noun,"""Angelegenheit"" bedeutet ""matter"".","""Angelegenheit"" means ""matter"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
angelehnt,,leant,German word meaning 'leant'.,,"""angelehnt"" bedeutet ""leant"".","""angelehnt"" means ""leant"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
angeliefert,,delivered,German word meaning 'delivered'.,,"""angeliefert"" bedeutet ""delivered"".","""angeliefert"" means ""delivered"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Angelrute,,fishing-rod,German noun meaning 'fishing-rod'.,noun,"""Angelrute"" bedeutet ""fishing-rod"".","""Angelrute"" means ""fishing-rod"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
angenehm,,pleasant,German word meaning 'pleasant'.,,"""angenehm"" bedeutet ""pleasant"".","""angenehm"" means ""pleasant"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Angewohnheit,,habit,German noun meaning 'habit'.,noun,"""Angewohnheit"" bedeutet ""habit"".","""Angewohnheit"" means ""habit"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
angezogen,,dressed,German word meaning 'dressed'.,,"""angezogen"" bedeutet ""dressed"".","""angezogen"" means ""dressed"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
angezündet,,lit,German word meaning 'lit'.,,"""angezündet"" bedeutet ""lit"".","""angezündet"" means ""lit"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
angreifen,,attack,German word meaning 'attack'.,,"""angreifen"" bedeutet ""attack"".","""angreifen"" means ""attack"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Angriff,,attack,German noun meaning 'attack'.,noun,"""Angriff"" bedeutet ""attack"".","""Angriff"" means ""attack"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Angst,,fear,German noun meaning 'fear'.,noun,"""Angst"" bedeutet ""fear"".","""Angst"" means ""fear"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
anhalten,,stop,German word meaning 'stop'.,,"""anhalten"" bedeutet ""stop"".","""anhalten"" means ""stop"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Anhänger,,follower,German noun meaning 'follower'.,noun,"""Anhänger"" bedeutet ""follower"".","""Anhänger"" means ""follower"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
anhäufen,,heap,German word meaning 'heap'.,,"""anhäufen"" bedeutet ""heap"".","""anhäufen"" means ""heap"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
anklagen,,charge,German word meaning 'charge'.,,"""anklagen"" bedeutet ""charge"".","""anklagen"" means ""charge"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
ankommen,,arrive,German word meaning 'arrive'.,,"""ankommen"" bedeutet ""arrive"".","""ankommen"" means ""arrive"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Ankunft,,arrival,German noun meaning 'arrival'.,noun,"""Ankunft"" bedeutet ""arrival"".","""Ankunft"" means ""arrival"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Anlass,,occasion,German noun meaning 'occasion'.,noun,"""Anlass"" bedeutet ""occasion"".","""Anlass"" means ""occasion"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
anlehnen,,lean (irr.),German word meaning 'lean (irr.)'.,,"""anlehnen"" bedeutet ""lean (irr.)"".","""anlehnen"" means ""lean (irr.)"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
anliefern,,deliver,German word meaning 'deliver'.,,"""anliefern"" bedeutet ""deliver"".","""anliefern"" means ""deliver"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Anlieferung,,delivery,German noun meaning 'delivery'.,noun,"""Anlieferung"" bedeutet ""delivery"".","""Anlieferung"" means ""delivery"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
anlocken,,attract,German word meaning 'attract'.,,"""anlocken"" bedeutet ""attract"".","""anlocken"" means ""attract"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
anmalen,,paint,German word meaning 'paint'.,,"""anmalen"" bedeutet ""paint"".","""anmalen"" means ""paint"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Anmerkung,,note,German noun meaning 'note'.,noun,"""Anmerkung"" bedeutet ""note"".","""Anmerkung"" means ""note"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
annehmen,,accept,German word meaning 'accept'.,,"""annehmen"" bedeutet ""accept"".","""annehmen"" means ""accept"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Annehmlichkeit,,convenience,German noun meaning 'convenience'.,noun,"""Annehmlichkeit"" bedeutet ""convenience"".","""Annehmlichkeit"" means ""convenience"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
annoncieren,,advertise,German word meaning 'advertise'.,,"""annoncieren"" bedeutet ""advertise"".","""annoncieren"" means ""advertise"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
anordnen,,order,German word meaning 'order'.,,"""anordnen"" bedeutet ""order"".","""anordnen"" means ""order"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Anordnung,,order,German noun meaning 'order'.,noun,"""Anordnung"" bedeutet ""order"".","""Anordnung"" means ""order"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
anprobieren,,try on,German word meaning 'try on'.,,"""anprobieren"" bedeutet ""try on"".","""anprobieren"" means ""try on"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Anrecht,,right,German noun meaning 'right'.,noun,"""Anrecht"" bedeutet ""right"".","""Anrecht"" means ""right"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Anreiz,,attraction,German noun meaning 'attraction'.,noun,"""Anreiz"" bedeutet ""attraction"".","""Anreiz"" means ""attraction"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
anrufen,,telephone,German word meaning 'telephone'.,,"""anrufen"" bedeutet ""telephone"".","""anrufen"" means ""telephone"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
anschieben,,push,German word meaning 'push'.,,"""anschieben"" bedeutet ""push"".","""anschieben"" means ""push"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Anschlagtafel,,notice board,German noun meaning 'notice board'.,noun,"""Anschlagtafel"" bedeutet ""notice board"".","""Anschlagtafel"" means ""notice board"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Anschluss,,connection,German noun meaning 'connection'.,noun,"""Anschluss"" bedeutet ""connection"".","""Anschluss"" means ""connection"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Ansiedlung,,settlement,German noun meaning 'settlement'.,noun,"""Ansiedlung"" bedeutet ""settlement"".","""Ansiedlung"" means ""settlement"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Anspruch,,pretence,German noun meaning 'pretence'.,noun,"""Anspruch"" bedeutet ""pretence"".","""Anspruch"" means ""pretence"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
ansteigen,,rise (irr.),German word meaning 'rise (irr.)'.,,"""ansteigen"" bedeutet ""rise (irr.)"".","""ansteigen"" means ""rise (irr.)"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
anstellen,,employ,German word meaning 'employ'.,,"""anstellen"" bedeutet ""employ"".","""anstellen"" means ""employ"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Anstellung,,engagement,German noun meaning 'engagement'.,noun,"""Anstellung"" bedeutet ""engagement"".","""Anstellung"" means ""engagement"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Anstoß,,push,German noun meaning 'push'.,noun,"""Anstoß"" bedeutet ""push"".","""Anstoß"" means ""push"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Anstrengung,,effort,German noun meaning 'effort'.,noun,"""Anstrengung"" bedeutet ""effort"".","""Anstrengung"" means ""effort"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Anstrich,,paint,German noun meaning 'paint'.,noun,"""Anstrich"" bedeutet ""paint"".","""Anstrich"" means ""paint"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
Anteil,,share,German noun meaning 'share'.,noun,"""Anteil"" bedeutet ""share"".","""Anteil"" means ""share"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
antik,,ancient,German word meaning 'ancient'.,,"""antik"" bedeutet ""ancient"".","""antik"" means ""ancient"".","bulk-import,heuristic-enrichment",,heuristic-enrichment-v3
