term,display_prefix,translation_text,explanation_text,part_of_speech,example_source,example_target,tags,difficulty,source
Belgien,,Belgium,,,"""Belgien"" bedeutet ""Belgium"".","""Belgien"" means ""Belgium"".","bulk-import,fallback-example",,fallback-example-v1
beliebt,,popular,,,"""beliebt"" bedeutet ""popular"".","""beliebt"" means ""popular"".","bulk-import,fallback-example",,fallback-example-v1
Beliebtheit,,popularity,,,"""Beliebtheit"" bedeutet ""popularity"".","""Beliebtheit"" means ""popularity"".","bulk-import,fallback-example",,fallback-example-v1
beliefernmit,,supply with,,,"""beliefernmit"" bedeutet ""supply with"".","""beliefernmit"" means ""supply with"".","bulk-import,fallback-example",,fallback-example-v1
Belieferung,,supply,,,"""Belieferung"" bedeutet ""supply"".","""Belieferung"" means ""supply"".","bulk-import,fallback-example",,fallback-example-v1
bellen,,bark,,,"""bellen"" bedeutet ""bark"".","""bellen"" means ""bark"".","bulk-import,fallback-example",,fallback-example-v1
belohnen,,reward,,,"""belohnen"" bedeutet ""reward"".","""belohnen"" means ""reward"".","bulk-import,fallback-example",,fallback-example-v1
Belohnung,,reward,,,"""Belohnung"" bedeutet ""reward"".","""Belohnung"" means ""reward"".","bulk-import,fallback-example",,fallback-example-v1
bemerken,,remark,,,"""bemerken"" bedeutet ""remark"".","""bemerken"" means ""remark"".","bulk-import,fallback-example",,fallback-example-v1
bemerkenswert,,noticeable,,,"""bemerkenswert"" bedeutet ""noticeable"".","""bemerkenswert"" means ""noticeable"".","bulk-import,fallback-example",,fallback-example-v1
Bemerkung,,remark,,,"""Bemerkung"" bedeutet ""remark"".","""Bemerkung"" means ""remark"".","bulk-import,fallback-example",,fallback-example-v1
benachbart,,neighbouring,,,"""benachbart"" bedeutet ""neighbouring"".","""benachbart"" means ""neighbouring"".","bulk-import,fallback-example",,fallback-example-v1
Benehmen,,behaviour,,,"""Benehmen"" bedeutet ""behaviour"".","""Benehmen"" means ""behaviour"".","bulk-import,fallback-example",,fallback-example-v1
beneiden,,envy,,,"""beneiden"" bedeutet ""envy"".","""beneiden"" means ""envy"".","bulk-import,fallback-example",,fallback-example-v1
benennen,,name,,,"""benennen"" bedeutet ""name"".","""benennen"" means ""name"".","bulk-import,fallback-example",,fallback-example-v1
Benennung,,appointment,,,"""Benennung"" bedeutet ""appointment"".","""Benennung"" means ""appointment"".","bulk-import,fallback-example",,fallback-example-v1
benötigen,,want,,,"""benötigen"" bedeutet ""want"".","""benötigen"" means ""want"".","bulk-import,fallback-example",,fallback-example-v1
beobachten,,watch,,,"""beobachten"" bedeutet ""watch"".","""beobachten"" means ""watch"".","bulk-import,fallback-example",,fallback-example-v1
Beobachtung,,observation,,,"""Beobachtung"" bedeutet ""observation"".","""Beobachtung"" means ""observation"".","bulk-import,fallback-example",,fallback-example-v1
bequem,,comfortable,,,"""bequem"" bedeutet ""comfortable"".","""bequem"" means ""comfortable"".","bulk-import,fallback-example",,fallback-example-v1
Bequemlichkeit,,comfort,,,"""Bequemlichkeit"" bedeutet ""comfort"".","""Bequemlichkeit"" means ""comfort"".","bulk-import,fallback-example",,fallback-example-v1
beraten,,advise,,,"""beraten"" bedeutet ""advise"".","""beraten"" means ""advise"".","bulk-import,fallback-example",,fallback-example-v1
berauben,,rob,,,"""berauben"" bedeutet ""rob"".","""berauben"" means ""rob"".","bulk-import,fallback-example",,fallback-example-v1
berechnend,,calculating,,,"""berechnend"" bedeutet ""calculating"".","""berechnend"" means ""calculating"".","bulk-import,fallback-example",,fallback-example-v1
berechnet,,calculated,,,"""berechnet"" bedeutet ""calculated"".","""berechnet"" means ""calculated"".","bulk-import,fallback-example",,fallback-example-v1
Berechnung,,calculation,,,"""Berechnung"" bedeutet ""calculation"".","""Berechnung"" means ""calculation"".","bulk-import,fallback-example",,fallback-example-v1
bereit,,ready,,,"""bereit"" bedeutet ""ready"".","""bereit"" means ""ready"".","bulk-import,fallback-example",,fallback-example-v1
Berg,,mountain,,,"""Berg"" bedeutet ""mountain"".","""Berg"" means ""mountain"".","bulk-import,fallback-example",,fallback-example-v1
Berggipfel,,top of the mountain,,,"""Berggipfel"" bedeutet ""top of the mountain"".","""Berggipfel"" means ""top of the mountain"".","bulk-import,fallback-example",,fallback-example-v1
Bergmann,,miner,,,"""Bergmann"" bedeutet ""miner"".","""Bergmann"" means ""miner"".","bulk-import,fallback-example",,fallback-example-v1
Bergwerk,,mine,,,"""Bergwerk"" bedeutet ""mine"".","""Bergwerk"" means ""mine"".","bulk-import,fallback-example",,fallback-example-v1
Bericht,,report,,,"""Bericht"" bedeutet ""report"".","""Bericht"" means ""report"".","bulk-import,fallback-example",,fallback-example-v1
berichten,,report,,,"""berichten"" bedeutet ""report"".","""berichten"" means ""report"".","bulk-import,fallback-example",,fallback-example-v1
Beruf,,profession,,,"""Beruf"" bedeutet ""profession"".","""Beruf"" means ""profession"".","bulk-import,fallback-example",,fallback-example-v1
berufsmäßig,,professional,,,"""berufsmäßig"" bedeutet ""professional"".","""berufsmäßig"" means ""professional"".","bulk-import,fallback-example",,fallback-example-v1
beruhigen,,comfort,,,"""beruhigen"" bedeutet ""comfort"".","""beruhigen"" means ""comfort"".","bulk-import,fallback-example",,fallback-example-v1
berühmt,,famous,,,"""berühmt"" bedeutet ""famous"".","""berühmt"" means ""famous"".","bulk-import,fallback-example",,fallback-example-v1
berühren,,touch,,,"""berühren"" bedeutet ""touch"".","""berühren"" means ""touch"".","bulk-import,fallback-example",,fallback-example-v1
Berührung,,touch,,,"""Berührung"" bedeutet ""touch"".","""Berührung"" means ""touch"".","bulk-import,fallback-example",,fallback-example-v1
Beschaffenheit,,kind,,,"""Beschaffenheit"" bedeutet ""kind"".","""Beschaffenheit"" means ""kind"".","bulk-import,fallback-example",,fallback-example-v1
bescheiden,,humble,,,"""bescheiden"" bedeutet ""humble"".","""bescheiden"" means ""humble"".","bulk-import,fallback-example",,fallback-example-v1
Bescheidenheit,,humbleness,,,"""Bescheidenheit"" bedeutet ""humbleness"".","""Bescheidenheit"" means ""humbleness"".","bulk-import,fallback-example",,fallback-example-v1
beschließen,,decide,,,"""beschließen"" bedeutet ""decide"".","""beschließen"" means ""decide"".","bulk-import,fallback-example",,fallback-example-v1
beschreiben,,describe,,,"""beschreiben"" bedeutet ""describe"".","""beschreiben"" means ""describe"".","bulk-import,fallback-example",,fallback-example-v1
Beschreibung,,description,,,"""Beschreibung"" bedeutet ""description"".","""Beschreibung"" means ""description"".","bulk-import,fallback-example",,fallback-example-v1
beschädigen,,harm,,,"""beschädigen"" bedeutet ""harm"".","""beschädigen"" means ""harm"".","bulk-import,fallback-example",,fallback-example-v1
beschädigt,,damaged,,,"""beschädigt"" bedeutet ""damaged"".","""beschädigt"" means ""damaged"".","bulk-import,fallback-example",,fallback-example-v1
beschäftigen,,occupy,,,"""beschäftigen"" bedeutet ""occupy"".","""beschäftigen"" means ""occupy"".","bulk-import,fallback-example",,fallback-example-v1
beschäftigt,,busy,,,"""beschäftigt"" bedeutet ""busy"".","""beschäftigt"" means ""busy"".","bulk-import,fallback-example",,fallback-example-v1
Beschäftigung,,occupation,,,"""Beschäftigung"" bedeutet ""occupation"".","""Beschäftigung"" means ""occupation"".","bulk-import,fallback-example",,fallback-example-v1
beschämt,,ashamed,,,"""beschämt"" bedeutet ""ashamed"".","""beschämt"" means ""ashamed"".","bulk-import,fallback-example",,fallback-example-v1
beschützen,,guard,,,"""beschützen"" bedeutet ""guard"".","""beschützen"" means ""guard"".","bulk-import,fallback-example",,fallback-example-v1
Besen,,broom,,,"""Besen"" bedeutet ""broom"".","""Besen"" means ""broom"".","bulk-import,fallback-example",,fallback-example-v1
besetzen,,occupy,,,"""besetzen"" bedeutet ""occupy"".","""besetzen"" means ""occupy"".","bulk-import,fallback-example",,fallback-example-v1
Besetzung,,occupation,,,"""Besetzung"" bedeutet ""occupation"".","""Besetzung"" means ""occupation"".","bulk-import,fallback-example",,fallback-example-v1
Besichtigungen,,sightseeing,,,"""Besichtigungen"" bedeutet ""sightseeing"".","""Besichtigungen"" means ""sightseeing"".","bulk-import,fallback-example",,fallback-example-v1
besiegen,,defeat,,,"""besiegen"" bedeutet ""defeat"".","""besiegen"" means ""defeat"".","bulk-import,fallback-example",,fallback-example-v1
besiegt,,defeated,,,"""besiegt"" bedeutet ""defeated"".","""besiegt"" means ""defeated"".","bulk-import,fallback-example",,fallback-example-v1
Besitz,,possession,,,"""Besitz"" bedeutet ""possession"".","""Besitz"" means ""possession"".","bulk-import,fallback-example",,fallback-example-v1
besitzen,,possess,,,"""besitzen"" bedeutet ""possess"".","""besitzen"" means ""possess"".","bulk-import,fallback-example",,fallback-example-v1
Besitzer,,owner,,,"""Besitzer"" bedeutet ""owner"".","""Besitzer"" means ""owner"".","bulk-import,fallback-example",,fallback-example-v1
besonderer,,particular,,,"""besonderer"" bedeutet ""particular"".","""besonderer"" means ""particular"".","bulk-import,fallback-example",,fallback-example-v1
besonders,,particularly,,,"""besonders"" bedeutet ""particularly"".","""besonders"" means ""particularly"".","bulk-import,fallback-example",,fallback-example-v1
besprechen,,talk over,,,"""besprechen"" bedeutet ""talk over"".","""besprechen"" means ""talk over"".","bulk-import,fallback-example",,fallback-example-v1
besser,,better,,,"""besser"" bedeutet ""better"".","""besser"" means ""better"".","bulk-import,fallback-example",,fallback-example-v1
bestechen,,bribe,,,"""bestechen"" bedeutet ""bribe"".","""bestechen"" means ""bribe"".","bulk-import,fallback-example",,fallback-example-v1
Bestechung,,bribery,,,"""Bestechung"" bedeutet ""bribery"".","""Bestechung"" means ""bribery"".","bulk-import,fallback-example",,fallback-example-v1
bestehend,,existing,,,"""bestehend"" bedeutet ""existing"".","""bestehend"" means ""existing"".","bulk-import,fallback-example",,fallback-example-v1
bestellen,,order,,,"""bestellen"" bedeutet ""order"".","""bestellen"" means ""order"".","bulk-import,fallback-example",,fallback-example-v1
Bestellung,,order,,,"""Bestellung"" bedeutet ""order"".","""Bestellung"" means ""order"".","bulk-import,fallback-example",,fallback-example-v1
bester,,best,,,"""bester"" bedeutet ""best"".","""bester"" means ""best"".","bulk-import,fallback-example",,fallback-example-v1
besteuern,,tax,,,"""besteuern"" bedeutet ""tax"".","""besteuern"" means ""tax"".","bulk-import,fallback-example",,fallback-example-v1
bestrafen,,punish,,,"""bestrafen"" bedeutet ""punish"".","""bestrafen"" means ""punish"".","bulk-import,fallback-example",,fallback-example-v1
Bestrafung,,punishment,,,"""Bestrafung"" bedeutet ""punishment"".","""Bestrafung"" means ""punishment"".","bulk-import,fallback-example",,fallback-example-v1
bestrebt,,anxious,,,"""bestrebt"" bedeutet ""anxious"".","""bestrebt"" means ""anxious"".","bulk-import,fallback-example",,fallback-example-v1
Besuch,,visit,,,"""Besuch"" bedeutet ""visit"".","""Besuch"" means ""visit"".","bulk-import,fallback-example",,fallback-example-v1
besuchen,,visit,,,"""besuchen"" bedeutet ""visit"".","""besuchen"" means ""visit"".","bulk-import,fallback-example",,fallback-example-v1
Besucher,,visitor,,,"""Besucher"" bedeutet ""visitor"".","""Besucher"" means ""visitor"".","bulk-import,fallback-example",,fallback-example-v1
besänftigen,,comfort,,,"""besänftigen"" bedeutet ""comfort"".","""besänftigen"" means ""comfort"".","bulk-import,fallback-example",,fallback-example-v1
beten,,pray,,,"""beten"" bedeutet ""pray"".","""beten"" means ""pray"".","bulk-import,fallback-example",,fallback-example-v1
Bäcker,,baker,,,"""Bäcker"" bedeutet ""baker"".","""Bäcker"" means ""baker"".","bulk-import,fallback-example",,fallback-example-v1
Bäuerin,,farmer's wife,,,"""Bäuerin"" bedeutet ""farmer's wife"".","""Bäuerin"" means ""farmer's wife"".","bulk-import,fallback-example",,fallback-example-v1
Änderung,,change,,,"""Änderung"" bedeutet ""change"".","""Änderung"" means ""change"".","bulk-import,fallback-example",,fallback-example-v1
Ärgernis,,nuisance,,,"""Ärgernis"" bedeutet ""nuisance"".","""Ärgernis"" means ""nuisance"".","bulk-import,fallback-example",,fallback-example-v1
Ärmel,,sleeve,,,"""Ärmel"" bedeutet ""sleeve"".","""Ärmel"" means ""sleeve"".","bulk-import,fallback-example",,fallback-example-v1
Äußerung,,remark,,,"""Äußerung"" bedeutet ""remark"".","""Äußerung"" means ""remark"".","bulk-import,fallback-example",,fallback-example-v1
ähnlich,,similar,,,"""ähnlich"" bedeutet ""similar"".","""ähnlich"" means ""similar"".","bulk-import,fallback-example",,fallback-example-v1
älter,,older,,,"""älter"" bedeutet ""older"".","""älter"" means ""older"".","bulk-import,fallback-example",,fallback-example-v1
ältere,,elder,,,"""ältere"" bedeutet ""elder"".","""ältere"" means ""elder"".","bulk-import,fallback-example",,fallback-example-v1
älteste,,oldest,,,"""älteste"" bedeutet ""oldest"".","""älteste"" means ""oldest"".","bulk-import,fallback-example",,fallback-example-v1
ärgerlich,,annoying,,,"""ärgerlich"" bedeutet ""annoying"".","""ärgerlich"" means ""annoying"".","bulk-import,fallback-example",,fallback-example-v1
äußerer,,outer,,,"""äußerer"" bedeutet ""outer"".","""äußerer"" means ""outer"".","bulk-import,fallback-example",,fallback-example-v1
äußerster,,outermost,,,"""äußerster"" bedeutet ""outermost"".","""äußerster"" means ""outermost"".","bulk-import,fallback-example",,fallback-example-v1
