term,display_prefix,translation_text,explanation_text,part_of_speech,example_source,example_target,tags,difficulty,source
Besetzung,,occupation,,,Tom ist die allerbeste Besetzung für die Stelle.,Tom is the very best person for the job.,"bulk-import,tatoeba-example-short",,tatoeba:8885248
Besichtigungen,,sightseeing,,,Die Stadt ist eine Besichtigung wert.,The city is worth seeing.,"bulk-import,tatoeba-example-short",,tatoeba:8738792
besiegen,,defeat,,,Er wird Sie besiegen.,He'll beat you.,"bulk-import,tatoeba-example-short",,tatoeba:12354126
besiegt,,defeated,,,Besiegt die „Riesen“!,Beat the Giants!,"bulk-import,tatoeba-example-short",,tatoeba:12287991
Besitz,,possession,,,Besitze es!,Take it.,"bulk-import,tatoeba-example-short",,tatoeba:6029897
besitzen,,possess,,,Besitze es!,Take it.,"bulk-import,tatoeba-example-short",,tatoeba:6029897
Besitzer,,owner,,,Wir sind die Besitzer.,We're the owners.,"bulk-import,tatoeba-example-short",,tatoeba:8336152
besonderer,,particular,,,Nichts Besonderes.,Nothing special.,"bulk-import,tatoeba-example-short",,tatoeba:407806
besonders,,particularly,,,"Nein, nicht besonders.","No, not particularly.","bulk-import,tatoeba-example-short",,tatoeba:13046365
besprechen,,talk over,,,Wir müssen das besprechen.,We have to discuss this.,"bulk-import,tatoeba-example-short",,tatoeba:13448541
besser,,better,,,Besser.,That's better.,"bulk-import,tatoeba-example-short",,tatoeba:564752
